Subject,Old.Old,Old.New,New.Lure,Old.Lure,New.New,New.Old,Recog,Disc,LDI,Headphone,,Word,Partword,Nonword,AFC,Headphone,Syllable,Color,Food,Drink,Pause_hit,Pause_RT,Pos1,Pos2,Pos3,Diff
5986038865326000012c1578,,,,,,,,,,,,3.25,2.5,1.75,0.625,6,4,blue,steak,tea,18,1.040688889,0.633009302,0.599028889,0.587229412,0.045779891
5c5dadc66467ac0001b7fa53,,,,,,,,,,,,3.5,4,3.5,0.625,0,4,blue,cheese,gin,18,0.603005556,0.561862222,0.564405128,0.530121739,0.031740483
606212affa13aada679c17b2,,,,,,,,,,,,4,4,3.25,0.75,6,5,red,nuddles,Coke,18,0.486333333,0.585197368,0.508395122,0.52627381,0.058923559
60c0c4333e49151d768bb35b,,,,,,,,,,,,4,3.25,1.75,0.6875,6,5,green,cheese,ginger ale,12,0.732808333,0.668933333,0.692561765,0.635557143,0.03337619
5ab14bdeb0ca80000197e6b6,0.994457883,-0.582841507,0.050153583,-0.050153583,0.582841507,-0.994457883,1.57729939,1.044611467,0.36,0,,,,,,,,,,,,,,,,
5b82be6543bc4900017ef3de,0.706302563,-1.750686071,0.358458793,-0.358458793,1.750686071,-0.706302563,2.456988634,1.064761356,0.4,6,,,,,,,,,,,,,,,,
5ded58a8217786000b2b2511,0.201893479,-1.750686071,0.582841507,-0.582841507,1.750686071,-0.201893479,1.95257955,0.784734986,0.3,6,,,,,,,,,,,,,,,,
5f564265f9d134032e757250,0.841621234,-0.841621234,-0.358458793,0.358458793,0.841621234,-0.841621234,1.683242467,0.48316244,0.16,5,,,,,,,,,,,,,,,,
60381c56a3d28f19c7093147,1.080319341,-1.750686071,-0.253347103,0.253347103,1.750686071,-1.080319341,2.831005412,0.826972238,0.26,6,,,,,,,,,,,,,,,,
60a8bc1ed3a5087a7538ba3d,0.706302563,-0.467698799,0.050153583,-0.050153583,0.467698799,-0.706302563,1.174001362,0.756456146,0.28,6,,,,,,,,,,,,,,,,
